forest,effect.size.calc,study.design,include.qual,include.quant,author,title,year,journal,study.id,study.treat,es.id,measure.name,developer,delayed,hedges.g,variance,grade.level,no.disability,group.size.calc,content,prop.females.whole,prop.females.t1,prop.females.t2,prop.black.whole,prop.black.t1,prop.black.t2,prop.hispanic.whole,prop.hispanic.t1,prop.hispanic.t2,prop.white.whole,prop.white.t1,prop.white.t2,prop.native,prop.asian,prop.other.races,txt.name,txt.description,txt.n,txt.sessions,txt.sessions.minutes,algebra,early.numeracy,fractions,geometry,lifeskills,measurement,operations,word.problem,explicit.modeling,explicit.guided,explicit.indep,explicit.feedback,explicit.discourse,group.whole,group.small,group.one,group.size.original,control.name,control.description,qi.1.1,qi.2.1,qi.2.2,qi.3.1,qi.3.2,qi.4.1,qi.4.2,qi.5.1,qi.5.2,qi.5.3,qi.6.1,qi.6.2,qi.6.3,qi.6.4,qi.6.8,qi.6.9,qi.7.1,qi.7.2,qi.7.3,qi.7.4,qi.7.5,qi.7.6,qi.8.1,qi.8.3,qi.g.total,qi.percent,qi.1.1B,qi.2.1B,qi.2.2B,qi.3.1B,qi.3.2B,qi.4.1B,qi.4.2B,qi.5.1B,qi.5.2B,qi.5.3B,qi.6.1B,qi.6.2B,qi.6.3B,qi.6.5B,qi.6.6B,qi.6.7B,qi.7.1B,qi.7.2B,qi.7.3B,qi.7.4B,qi.7.5B,qi.8.2B,qi.s.total
"Eckhart, 2010a",7,scrd,1,1,"Eckhart, V. A. ",Effects of Peer Tutoring on the Acquisition of Basic (0-9) Multiplication Facts by Sixth Grade Students with Math Deficits ,2010,Doctoral dissertation ,192,192a,1208,Multiplication facts 0-9: Total number correct,0,0,0.62907633,0.047539588,sec,0,1,operations,0.166666667,0.17,0,0,0,0,0,0,0,0,0.97,0,0,0,0,peer tutoring,effect of peer tutoring on the acquisition of multiplication facts 0-9 with sixth grade students with math deficits.,12,15,8.5,NA,NA,NA,NA,NA,NA,1,NA,,NA,1,NA,,,NA,NA,,,,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,18,0.954545455,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,21
"Eckhart, 2010b",7,scrd,1,1,"Eckhart, V. A. ",Effects of Peer Tutoring on the Acquisition of Basic (0-9) Multiplication Facts by Sixth Grade Students with Math Deficits ,2010,Doctoral dissertation ,192,192b,1209,Multiplication facts 0-9: Total number correct,0,0,1.63414743,0.081767946,sec,0,1,operations,0.166666667,0.17,0,0,0,0,0,0,0,0,0.97,0,0,0,0,peer tutoring with goal setting,effects of peer tutoring plus goal setting on students multiplication facts performance,12,15,8.5,NA,NA,NA,NA,NA,NA,1,NA,,NA,1,NA,,,NA,NA,,,,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,18,0.954545455,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"Ehlert & Fritz, 2013",3,qed,1,1,Ehlert & Fritz (2013),Evaluation of maths training programme for children with learning difficulties,2013,South African Journal of Childhood Education,194,194,1211,MARKO-D1,1,1,0.497,0.0645,elem,0,1,early numeracy,0.34,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,Training Group,thrid grade students receiving MARKO-T support,32,20,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,,NA,1,,Control Group 1,BAU,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,12,0.5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,7
"Ennis & Losinski, 2019",7,scrd,1,1,"Ennis, Robin Parks and Losinski, Mickey",SRSD Fractions: Helping Students at Risk for Disabilities Add/Subtract Fractions With Unlike Denominators.,2019,Journal of Learning Disabilities,195,195,1212,Adding and subtracting fractions with unlike denominators: Digits correct,0,0,1.41,0.0961,elem,1,2.5,fractions,0.375,0.38,0,0.5,0.5,0,0.375,0.375,0,0.125,0.13,0,0,0,0,SRSD ,use self regulated strategy development fractions to teach adding and subtracting fractions with unlike denominators.,8,7,17.5,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,,1,NA,2.5,,,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,17,0.909090909,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,20
"Esoete & Raet, 2013a",2,qed,1,1,Desoete & Praet (2013),Inclusive Mathematics Education: the Value of a Computerized Look-ahead Approach in Kindergarten. A Randomized Controlled Study,2013,Erdélyi Pszichológiai Szemle.,196,196a,1213a,Tedi-Math,1,0,1.643735,0.181496,early,0,12,early numeracy,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Counting Games,computer assited game,44,9,25,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,1,,,NA,1,,business-as-usual group,BAU,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,12,0.5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,7
"Esoete & Raet, 2013a",2,qed,1,1,Desoete & Praet (2013),Inclusive Mathematics Education: the Value of a Computerized Look-ahead Approach in Kindergarten. A Randomized Controlled Study,2013,Erdélyi Pszichológiai Szemle.,196,196a,1214a,number knowledge,1,1,1.236436,0.160843,early,0,12,early numeracy,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Counting Games,computer assited game,44,9,25,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,1,,,NA,1,,business-as-usual group,BAU,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,12,0.5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,7
"Esoete & Raet, 2013a",9,qed,1,1,Desoete & Praet (2013),Inclusive Mathematics Education: the Value of a Computerized Look-ahead Approach in Kindergarten. A Randomized Controlled Study,2013,Erdélyi Pszichológiai Szemle.,196,196a,1215a,mental arithmetic,1,1,1.212987,0.159832,early,0,12,early numeracy,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Counting Games,computer assited game,44,9,25,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,1,,,NA,1,,business-as-usual group,BAU,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,12,0.5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,7
"Esoete & Raet, 2013a",2,qed,1,1,Desoete & Praet (2013),Inclusive Mathematics Education: the Value of a Computerized Look-ahead Approach in Kindergarten. A Randomized Controlled Study,2013,Erdélyi Pszichológiai Szemle.,196,196b,1213b,Tedi-Math,1,0,1.014354,0.183598,early,0,12,early numeracy,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Counting Games,computer assited game,44,9,25,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,1,,,NA,1,,business-as-usual group,BAU,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,12,0.5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,7
"Esoete & Raet, 2013b",2,qed,1,1,Desoete & Praet (2013),Inclusive Mathematics Education: the Value of a Computerized Look-ahead Approach in Kindergarten. A Randomized Controlled Study,2013,Erdélyi Pszichológiai Szemle.,196,196b,1214b,number knowledge,1,1,0.839702,0.176958,early,0,12,early numeracy,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison Games,computer assited game,39,9,25,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,1,,,NA,1,,business-as-usual group,BAU,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,12,0.5,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,7
"Esoete & Raet, 2013b",9,qed,1,1,Desoete & Praet (2013),Inclusive Mathematics Education: the Value of a Computerized Look-ahead Approach in Kindergarten. A Randomized Controlled Study,2013,Erdélyi Pszichológiai Szemle.,196,196b,1215b,mental arithmetic,1,1,0.817529,0.176205,early,0,12,early numeracy,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison Games,computer assited game,39,9,25,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,1,,,NA,1,,business-as-usual group,BAU,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,12,0.5,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7
"Farrell & McDougall, 2007",7,scrd,1,1,"Farrell, Courtney Anthony and McDougall, Dennis",Impact of a self-management package on the math fluency of students with disabilities during independent practice,2007,ProQuest Dissertations and Theses,197,197,1219,Fluency: Digits correct,0,0,2.16511038,0.113912737,sec,0,1,operations,0.33,0.33,0,0,0,0,0,0,0,0.5,1,0,0,0,0,self monitoring,the effect of multi-component behavioral self-management intervention on math fluency for high school students with disabilities.,6,20,3,NA,NA,NA,NA,NA,NA,1,NA,,NA,1,NA,45-46,,NA,NA,,,,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,15,0.863636364,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,19
"Farrell, 2018",1,rct,1,1,Farrell (2018),The Efficacy of the Do The Math Intervention in the Math Achievement of Special Education Elementary Students,2018,,198,198,1220,Math Inventory,0,0,0.4104,0.1262,elem,0,1,operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental group,DTM district intervention,71,60,30,NA,NA,NA,NA,NA,NA,1,NA,,NA,NA,NA,,1,NA,NA,,control group,eligible for services through special education that did not participate in the intervention but had an identified need to improve their performance in mathematics computation,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,10,0.416666667,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,6
"Fede et al., 2013",1,rct,1,1,Fede et al. (2013),"The Effects of a Computer-Assisted, Schema-Based Instruction Intervention on Word Problem-Solving Skills of Low-Performing Fifth Grade Students",2013,Journal of Special Education Technology,199,199,1221,MCAS,1,0,0.770706,0.134767,elem,0,1,word problems,0.75,0.94,0,0,0,0,0,0,0,0.97,0,0,0,0.03,0,Experimental group,GO Solve Word Problems intervention,16,24,45,NA,NA,NA,NA,NA,NA,NA,1,,1,1,NA,,,NA,1,,Control Group,BAU,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,17,0.708333333,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,11
"Fede et al., 2013",1,rct,1,1,Fede et al. (2013),"The Effects of a Computer-Assisted, Schema-Based Instruction Intervention on Word Problem-Solving Skills of Low-Performing Fifth Grade Students",2013,Journal of Special Education Technology,199,199,1222,GMADE,1,0,0.401233,0.127647,elem,0,1,word problems,0.75,0.94,0,0,0,0,0,0,0,0.97,0,0,0,0.03,0,Experimental group,GO Solve Word Problems intervention,16,24,45,NA,NA,NA,NA,NA,NA,NA,1,,1,1,NA,,,NA,1,,Control Group,BAU,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,17,0.708333333,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,11
"Ferreira & Miller, 2009",7,scrd,1,1,"Ferreira, Danielle and Miller, Susan",Effects of explicit subtraction instruction on fifth grade students with learning disabilities,2009,ProQuest Dissertations and Theses,200,200,1223,Learning Sheet (subtraction with regrouping),0,1,3.9463,0.4218,elem,0,2,operations,0.17,0.17,0,0.33,0.33,0,0.17,0.17,0,0.33,0.33,0,0.17,0,0,Subtraction with Regrouping,strategy instruction,6,26,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,,1,NA,2,Baseline,no instruction,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,14,0.818181818,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,18
"Fien et al., 2016",1,rct,1,1,"Fien,H.,  Christian T. Doabler, Nancy J. Nelson, Derek B. Kosty, Ben Clarke & Scott K. Baker",An Examination of the Promise of the NumberShire Level 1 Gaming Intervention for Improving Student Mathematics Outcomes,2016,Journal of Research on Educational Effectiveness ,201,201,1224,easyCBM-NCTM,1,0,0.014661,0.016,early,0,15,early numeracy,0.5,0.51,0,0.06,0.05,0,0.06,0.05,0,0.62,0.62,0,0,0.04,0,Treatment,NSI Intervention,125,31.4,15,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,,,1,NA,5 to 25,Control,BAU,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,21,0.875,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,15
"Fien et al., 2016",1,rct,1,1,"Fien,H.,  Christian T. Doabler, Nancy J. Nelson, Derek B. Kosty, Ben Clarke & Scott K. Baker",An Examination of the Promise of the NumberShire Level 1 Gaming Intervention for Improving Student Mathematics Outcomes,2016,Journal of Research on Educational Effectiveness ,201,201,1225,Group EN-CBM quantity discrimination,0,0,0.252353,0.016128,early,0,15,early numeracy,0.5,0.51,0,0.06,0.05,0,0.06,0.05,0,0.62,0.62,0,0,0.04,0,Treatment,NSI Intervention,125,31.4,15,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,,,1,NA,5 to 25,Control,BAU,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,21,0.875,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,15
"Fien et al., 2016",1,rct,1,1,"Fien,H.,  Christian T. Doabler, Nancy J. Nelson, Derek B. Kosty, Ben Clarke & Scott K. Baker",An Examination of the Promise of the NumberShire Level 1 Gaming Intervention for Improving Student Mathematics Outcomes,2016,Journal of Research on Educational Effectiveness ,201,201,1226,Group EN-CBM missing number,0,0,0.270907,0.016148,early,0,15,early numeracy,0.5,0.51,0,0.06,0.05,0,0.06,0.05,0,0.62,0.62,0,0,0.04,0,Treatment,NSI Intervention,125,31.4,15,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,,,1,NA,5 to 25,Control,BAU,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,21,0.875,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"Fien et al., 2016",1,rct,1,1,"Fien,H.,  Christian T. Doabler, Nancy J. Nelson, Derek B. Kosty, Ben Clarke & Scott K. Baker",An Examination of the Promise of the NumberShire Level 1 Gaming Intervention for Improving Student Mathematics Outcomes,2016,Journal of Research on Educational Effectiveness ,201,201,1227,Profusion-R,0,0,0.467646,0.01644,early,0,15,early numeracy,0.5,0.51,0,0.06,0.05,0,0.06,0.05,0,0.62,0.62,0,0,0.04,0,Treatment,NSI Intervention,125,31.4,15,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,,,1,NA,5 to 25,Control,BAU,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,21,0.875,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"Flores et al., 2009",7,scrd,1,1,"Flores, Margaret M.",Teaching Subtraction With Regrouping to Students Experiencing Difficulty in Mathematics.,2009,Preventing School Failure,203,203,1228,Subtraction with regrouping: Digits correct,0,0,1.03994974,0.08472157,elem,0,2,operations,0.33,0.33,0,0,0,0,0.83,0,0,0.17,0.17,0,0,0,0,CRA instruction,implementing CRA instruction to teach students subtraction with regrouping,6,11,30,NA,NA,NA,NA,NA,NA,1,NA,,NA,NA,NA,,,1,NA,2,,,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,16,0.909090909,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"Flores, 2010",7,scrd,1,1,"Flores, Margaret M.",Using the concrete-representational-abstract sequence to teach subtraction with regrouping to students at risk for failure,2010,Remedial and Special Education,204,204,1229,Two-digit subtraction with regrouping: Digits correct,0,0,3.35910491,0.245379945,elem,1,1,operations,0.166666667,0.17,0,0.17,0.17,0,0.833333333,0.83,0,0,0,0,0,0,0,CRA instruction,using CRA to teach students subtraction with regouping in tens place,6,15,30,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,,,NA,1,1,,,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,17,0.909090909,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"Flores, 2010",7,scrd,1,1,"Flores, Margaret M.",Using the concrete-representational-abstract sequence to teach subtraction with regrouping to students at risk for failure,2010,Remedial and Special Education,204,204,1230,Three-digit subtraction with regrouping: Digits correct,0,0,1.99653898,0.290297768,elem,1,1,operations,0.166666667,0.17,0,0.17,0.17,0,0.833333333,0.83,0,0,0,0,0,0,0,CRA for subtraction with regrouping in tens and hundreds ,use CRA to teach students subtraction with regrouping in tens and hundreds places,6,15,30,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,,,NA,1,1,,,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,17,0.909090909,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,20
"Flores & Hinton, 2019",7,scrd,1,1,"Flores, Margaret M. and Hinton, Vanessa",Improvement in Elementary Students' Multiplication Skills and Understanding after Learning Through the Combination of the Concrete-Representational-Abstract Sequence and Strategic Instruction,2019,Education and Treatment of Children,209,209,1232,Multiplication with regrouping: Percent correct,0,0,0.17539284,0.64834572,elem,1,1,operations,0.33,0.33,0,0.33,0.33,0,0,0,0,0.67,0.67,0,0,0,0,CRA-SIM,the effect of CRA-SIM on students' multiplication with regrouping and word problem solving,3,12,6.67,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,,,NA,NA,,,,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,16,0.909090909,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,20
"Flores et al., 2014",7,scrd,1,1,"Flores, Margaret M. and Hinton, Vanessa and Strozier, Shaunita D.",Teaching Subtraction and Multiplication with Regrouping Using the Concrete-Representational-Abstract Sequence and Strategic Instruction Model.,2014,Learning Disabilities Research & Practice (Wiley-Blackwell),207,207a,1233,Subtraction with regrouping ones place: Digits correct,0,0,0.76048957,0.228501658,elem,1,3,operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRA,use CRA and SIM to teach subtraction and multiplication with regrouping,3,36.25,25,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,,,1,NA,3,,,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,14,0.818181818,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,18
"Flores et al., 2014",7,scrd,1,1,"Flores, Margaret M. and Hinton, Vanessa and Strozier, Shaunita D.",Teaching Subtraction and Multiplication with Regrouping Using the Concrete-Representational-Abstract Sequence and Strategic Instruction Model.,2014,Learning Disabilities Research & Practice (Wiley-Blackwell),207,207b,1234,Subtraction with regrouping ones and tens places: Digits correct,0,0,0.537928,0.878361647,elem,1,3,operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRA,use CRA and SIM to teach subtraction and multiplication with regrouping,3,36.25,25,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,,,1,NA,3,,,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,14,0.818181818,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,18
"Flores et al., 2014",7,scrd,1,1,"Flores, Margaret M. and Hinton, Vanessa and Strozier, Shaunita D.",Teaching Subtraction and Multiplication with Regrouping Using the Concrete-Representational-Abstract Sequence and Strategic Instruction Model.,2014,Learning Disabilities Research & Practice (Wiley-Blackwell),207,207c,1235,Multiplication with regrouping with one-digit multiplier: Digits correct,0,0,1.67148,0.246920284,elem,1,3,operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRA,use CRA and SIM to teach subtraction and multiplication with regrouping,3,36.25,25,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,,,1,NA,3,,,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,14,0.818181818,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
"Flores et al., 2020",3- used Adjusted Means,qed,1,1,"Flores, Margaret M. and Hinton, Vanessa M. and Meyer, Jill M.",Teaching Fraction Concepts Using the Concrete-Representational-Abstract Sequence.,2020,Remedial & Special Education,210,210,1236,fraction and decimal test,0,0,2.388,0.2273,elem,1,17,fractions,0.45,0.47,0,0.13,0.24,0,0,0,0,0.29,0.53,0,0,0,0,CRA,the purpose of this study was to compare the effects of CRA with remedial multitiered systems of support(MTSS) Tier 2 instruction for teaching fraction concepts.,17,20,1.47,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,,,1,NA,17,MTSS,"students in the comparison group used district prescribed materials ""GoMath"".Both treatment and control condition did Tier 2 instruction.",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,21,0.875,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,16
"Flores et al., 2014",7,scrd,1,1,"Flores, Margaret M. and Hinton, Vanessa M. and Schweck, Kelly B.",Teaching multiplication with regrouping to students with learning disabilities,2014,Learning Disabilities Research & Practice,206,206,1237,Multiplication with regrouping: Digits correct,0,0,0.19994952,0.08737978,elem,0,1,operations,0,0,0,0.25,0.25,0,0,0,0,0.5,0.5,0,0,0,0,CRA instruction,use CRA to teach students multiplication with regrouping,4,10,25,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,,,NA,1,1,,,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,15,0.863636364,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,19
"Flores & Milton, 2020",7,scrd,1,1,"Flores, Margaret M. and Milton, Jessica H.",Teaching the Partial Products Algorithm Using the Concrete-representational-abstract Sequence.,2020,Exceptionality,211,211,1240,Two-digit multiplication fluency ,0,0,3.50851756,0.368543322,elem,0,1,operations,0.33,0.33,0,0,0,0,0,0,0,0.33,0.33,0,0,0,0,CRA,"use CRA sequence to teach multiplication using another strategy, partial products algorithm",3,15,30,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,,,NA,1,,,,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,17,0.954545455,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,21
"Freeman et al., 2020",7,scrd,1,1,"Freeman ‚Äê Green, Shaqwana M. and O'Brien, Chris and Wood, Charles L. and Hitt, Sara Beth",Effects of the SOLVE Strategy on the Mathematical Problem Solving Skills of Secondary Students with Learning Disabilities.,2015,Learning Disabilities Research & Practice (Wiley-Blackwell),213,213,1242,Problem-solving probes,0,0,13.0938337,7.999316583,sec,0,2,word problems,0,0,78,0.17,0.17,0,0,0,0,0.83,0.83,0,0,0,0,Explicit instruction in the SOLVE strategy,examined the effects of the explicit instruction in the SOLVE strategy on the mathematical problem solving skills,6,15,20,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,,,1,NA,2,,,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,15,0.863636364,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,19
"Fuchs et al., 2005",1,rct,1,1,"Fuchs, L. S., Compton, D. L., Fuchs, D., Paulsen, K., Bryant, J. D., & Hamlett, C. L. ","The prevention, identification, and cognitive determinants of math difficulty.",2005,Journal of Educational Psychology,214,214,1243,CBM curriculum-based measurement computation,0,0,0.330351,0.031933,early,0,2.5,operations,0.5,0.53,0,0.5,0.5,0,0.06,0.06,0,0.45,0.45,0,0,0,0,At-risk Tutored,CRA+Math flash,63,43.8,40,NA,1,NA,NA,NA,NA,1,NA,,NA,NA,NA,,,1,NA,2 to 3,At-risk Control,BAU,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,20,0.833333333,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,14
"Fuchs et al., 2005",1,rct,1,1,"Fuchs, L. S., Compton, D. L., Fuchs, D., Paulsen, K., Bryant, J. D., & Hamlett, C. L. ","The prevention, identification, and cognitive determinants of math difficulty.",2005,Journal of Educational Psychology,214,214,1244,Basic Facts +,0,0,0.239139,0.031726,early,0,2.5,operations,0.5,0.53,0,0.5,0.5,0,0.06,0.06,0,0.45,0.45,0,0,0,0,At-risk Tutored,CRA+Math flash,63,43.8,40,NA,1,NA,NA,NA,NA,1,NA,,NA,NA,NA,,,1,NA,2 to 3,At-risk Control,BAU,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,20,0.833333333,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,14
"Fuchs et al., 2005",1,rct,1,1,"Fuchs, L. S., Compton, D. L., Fuchs, D., Paulsen, K., Bryant, J. D., & Hamlett, C. L. ","The prevention, identification, and cognitive determinants of math difficulty.",2005,Journal of Educational Psychology,214,214,1245,Basic Facts -,0,0,0.120956,0.031556,early,0,2.5,operations,0.5,0.53,0,0.5,0.5,0,0.06,0.06,0,0.45,0.45,0,0,0,0,At-risk Tutored,CRA+Math flash,63,43.8,40,NA,1,NA,NA,NA,NA,1,NA,,NA,NA,NA,,,1,NA,2 to 3,At-risk Control,BAU,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,20,0.833333333,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,14
"Fuchs et al., 2005",1,rct,1,1,"Fuchs, L. S., Compton, D. L., Fuchs, D., Paulsen, K., Bryant, J. D., & Hamlett, C. L. ","The prevention, identification, and cognitive determinants of math difficulty.",2005,Journal of Educational Psychology,214,214,1246,WJ Calculation,1,0,0.636536,0.033113,early,0,2.5,operations,0.5,0.53,0,0.5,0.5,0,0.06,0.06,0,0.45,0.45,0,0,0,0,At-risk Tutored,CRA+Math flash,63,43.8,40,NA,1,NA,NA,NA,NA,1,NA,,NA,NA,NA,,,1,NA,2 to 3,At-risk Control,BAU,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,20,0.833333333,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,14
